Unique ID,Plant Name,Plant Type,Winter Availability,Winter_Shoulder Availability,Summer Availability,Annual Availability
10003_B_BLR1,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR2,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR4,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR5,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10013_B_1,Covanta Hennepin Energy,Municipal Solid Waste,0.90,0.90,0.90,0.90
10013_B_2,Covanta Hennepin Energy,Municipal Solid Waste,0.90,0.90,0.90,0.90
10025_B_41,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_42,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_43,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_44,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_45,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_46,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_47,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_48,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_PB1,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB2,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB3,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB4,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10052_B_BLR1,Fairhaven Power,Biomass,0.83,0.83,0.83,0.83
10062_B_BLR1,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR2,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR3,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR4,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10072_B_WHBOIL,Engineered Carbons Borger Cogen,Fossil Waste,0.90,0.90,0.90,0.90
10113_B_CFB1,John B Rich Memorial Power Station,Coal Steam,0.91,0.82,0.82,0.84
10113_B_CFB2,John B Rich Memorial Power Station,Coal Steam,0.91,0.82,0.82,0.84
10118_B_1,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10118_B_2,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10118_B_3,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
1012_B_3,F B Culley,Coal Steam,0.74,0.74,0.82,0.77
10143_B_ABB01,Colver Power Project,Coal Steam,0.79,0.79,0.86,0.82
10144_B_BLR3,Sierra Pacific Lincoln Facility,Biomass,0.83,0.83,0.83,0.83
10151_B_BLR1A,Grant Town Power Plant,Coal Steam,0.91,0.82,0.82,0.84
10151_B_BLR1B,Grant Town Power Plant,Coal Steam,0.91,0.82,0.82,0.84
10204_B_7-1,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_7-2,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_9-1,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_9-2,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10216_B_PB1,Alabama River Pulp,Non-Fossil Waste,0.90,0.90,0.90,0.90
10216_B_RB1,Alabama River Pulp,Non-Fossil Waste,0.90,0.90,0.90,0.90
10233_B_PB,Leaf River Cellulose LLC,Non-Fossil Waste,0.90,0.90,0.90,0.90
10233_B_RB,Leaf River Cellulose LLC,Non-Fossil Waste,0.90,0.90,0.90,0.90
1024_B_5,Crawfordsville Power Plant,Coal Steam,0.82,0.82,0.87,0.84
1024_B_6,Crawfordsville Power Plant,Coal Steam,0.82,0.82,0.87,0.84
10290_B_EU1,Bridgewater Power LP,Biomass,0.83,0.83,0.83,0.83
10300_B_BLR1,Desert View Power,Biomass,0.83,0.83,0.83,0.83
10300_B_BLR2,Desert View Power,Biomass,0.83,0.83,0.83,0.83
10328_B_BLR1,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10328_B_BLR2,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10328_B_BLR3,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10328_B_BLR4,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10328_B_BLR6,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10343_B_SG-101,Foster Wheeler Mt Carmel Cogen,Coal Steam,0.91,0.82,0.82,0.84
10346_B_BOIL01,Hillman Power LLC,Biomass,0.83,0.83,0.83,0.83
10354_B_1,ReEnergy Livermore Falls,Biomass,0.83,0.83,0.83,0.83
10382_B_UNIT1,Lumberton,Biomass,0.83,0.83,0.83,0.83
10382_B_UNIT2,Lumberton,Biomass,0.83,0.83,0.83,0.83
10397_B_5HPB,ArcelorMittal Indiana Harbor West,Fossil Waste,0.90,0.90,0.90,0.90
10397_B_6HPB,ArcelorMittal Indiana Harbor West,Fossil Waste,0.90,0.90,0.90,0.90
10397_B_7HPB,ArcelorMittal Indiana Harbor West,Fossil Waste,0.90,0.90,0.90,0.90
10397_B_8HPB,ArcelorMittal Indiana Harbor West,Fossil Waste,0.90,0.90,0.90,0.90
10397_B_9HPB,ArcelorMittal Indiana Harbor West,Fossil Waste,0.90,0.90,0.90,0.90
1040_B_1,Whitewater Valley,Coal Steam,0.82,0.82,0.87,0.84
1040_B_2,Whitewater Valley,Coal Steam,0.82,0.82,0.87,0.84
10416_B_BO4,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10416_B_BO5,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10416_B_BO6,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10416_B_BO7,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10416_B_BO8,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10416_B_BO9,Pensacola Florida Plant,O/G Steam,0.80,0.80,0.86,0.82
10435_B_SG101A,Camden Resource Recovery Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10435_B_SG101B,Camden Resource Recovery Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10435_B_SG101C,Camden Resource Recovery Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10446_B_HTFHTR,SEGS IX,Solar Thermal,0.90,0.90,0.90,0.90
10464_B_E0001,ReEnergy Black River,Biomass,0.83,0.83,0.83,0.83
10464_B_E0002,ReEnergy Black River,Biomass,0.83,0.83,0.83,0.83
10464_B_E0003,ReEnergy Black River,Biomass,0.83,0.83,0.83,0.83
10472_B_B300,Puente Hills Energy Recovery,Landfill Gas,0.90,0.90,0.90,0.90
10472_B_B400,Puente Hills Energy Recovery,Landfill Gas,0.90,0.90,0.90,0.90
10477_B_P1,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10477_B_P2,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10477_B_P3,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10477_B_R1,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10477_B_R2,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10477_B_R3,Wisconsin Rapids Pulp Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10495_B_6,Rumford Cogeneration,Tires,0.90,0.90,0.90,0.90
10495_B_7,Rumford Cogeneration,Tires,0.90,0.90,0.90,0.90
10495_B_CRECV,Rumford Cogeneration,Non-Fossil Waste,0.90,0.90,0.90,0.90
10503_B_SG201A,Wheelabrator Hudson Falls,Municipal Solid Waste,0.90,0.90,0.90,0.90
10503_B_SG201B,Wheelabrator Hudson Falls,Municipal Solid Waste,0.90,0.90,0.90,0.90
10525_B_4A,Craven County Wood Energy LP,Biomass,0.83,0.83,0.83,0.83
10562_B_PB6,Fernandina Plant,Biomass,0.83,0.83,0.83,0.83
10562_B_REC5,Fernandina Plant,Biomass,0.83,0.83,0.83,0.83
10593_B_BLR1,Agrilectric Power Partners Ltd,Biomass,0.83,0.83,0.83,0.83
10603_B_031,Ebensburg Power,Coal Steam,0.82,0.82,0.87,0.84
10613_B_3RB,Domtar - Woodland Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10613_B_9PB,Domtar - Woodland Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10627_B_BB1,Pine Bluff Mill,O/G Steam,0.80,0.80,0.86,0.82
10627_B_PB1,Pine Bluff Mill,O/G Steam,0.80,0.80,0.86,0.82
10627_B_RB2,Pine Bluff Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10627_B_RB3,Pine Bluff Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10627_B_RB4,Pine Bluff Mill,Non-Fossil Waste,0.90,0.90,0.90,0.90
10629_B_BLR1,Wheelabrator Baltimore Refuse,Municipal Solid Waste,0.90,0.90,0.90,0.90
10629_B_BLR2,Wheelabrator Baltimore Refuse,Municipal Solid Waste,0.90,0.90,0.90,0.90
10629_B_BLR3,Wheelabrator Baltimore Refuse,Municipal Solid Waste,0.90,0.90,0.90,0.90
10642_B_1,Covanta Hempstead,Municipal Solid Waste,0.90,0.90,0.90,0.90
10642_B_2,Covanta Hempstead,Municipal Solid Waste,0.90,0.90,0.90,0.90
10642_B_3,Covanta Hempstead,Municipal Solid Waste,0.90,0.90,0.90,0.90
10643_B_1,Covanta Essex Company,Municipal Solid Waste,0.90,0.90,0.90,0.90
10643_B_2,Covanta Essex Company,Municipal Solid Waste,0.90,0.90,0.90,0.90
10643_B_3,Covanta Essex Company,Municipal Solid Waste,0.90,0.90,0.90,0.90
10646_B_BLR1,Covanta Southeastern Connecticut Company,Municipal Solid Waste,0.90,0.90,0.90,0.90
10646_B_BLR2,Covanta Southeastern Connecticut Company,Municipal Solid Waste,0.90,0.90,0.90,0.90
10652_B_BLR1,Burney Forest Products,Biomass,0.83,0.83,0.83,0.83
10652_B_BLR2,Burney Forest Products,Biomass,0.83,0.83,0.83,0.83
10671_B_1A,River Valley,Coal Steam,0.82,0.82,0.87,0.84
10671_B_1B,River Valley,Coal Steam,0.82,0.82,0.87,0.84
10671_B_2A,River Valley,Coal Steam,0.82,0.82,0.87,0.84
10671_B_2B,River Valley,Coal Steam,0.82,0.82,0.87,0.84
10678_B_BLR1,AES Warrior Run Cogeneration Facility,Coal Steam,0.90,0.79,0.79,0.82
10684_B_BLR22,Argus Cogen Plant,Coal Steam,0.82,0.82,0.87,0.84
10684_B_BLR25,Argus Cogen Plant,Coal Steam,0.82,0.82,0.87,0.84
10684_B_BLR26,Argus Cogen Plant,Coal Steam,0.82,0.82,0.87,0.84
10686_B_5,Rapids Energy Center,Biomass,0.83,0.83,0.83,0.83
10686_B_6,Rapids Energy Center,Biomass,0.83,0.83,0.83,0.83
10686_B_7,Rapids Energy Center,Biomass,0.83,0.83,0.83,0.83
10686_B_8,Rapids Energy Center,Biomass,0.83,0.83,0.83,0.83
1073_B_1,Prairie Creek,Coal Steam,0.82,0.82,0.87,0.84
1073_B_2,Prairie Creek,Coal Steam,0.82,0.82,0.87,0.84
1073_B_3,Prairie Creek,Coal Steam,0.82,0.82,0.87,0.84
1073_B_4,Prairie Creek,O/G Steam,0.77,0.77,0.86,0.81
10746_B_BLR1,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10746_B_BLR2,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10746_B_BLR3,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10746_B_BLR4,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10746_B_BLR5,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10746_B_BLR6,Covanta Delaware Valley,Municipal Solid Waste,0.90,0.90,0.90,0.90
10764_B_Zurn,Blue Lake Power LLC,Biomass,0.83,0.83,0.83,0.83
10765_B_CFB002,Indeck Jonesboro Energy Center,Biomass,0.83,0.83,0.83,0.83
10766_B_CFB001,Indeck West Enfield Energy Center,Biomass,0.83,0.83,0.83,0.83
10767_B_CFB,Rio Bravo Fresno,Biomass,0.83,0.83,0.83,0.83
10771_B_1,Hopewell Power Station,Biomass,0.83,0.83,0.83,0.83
10771_B_2,Hopewell Power Station,Biomass,0.83,0.83,0.83,0.83
10772_B_CFB,Rio Bravo Rocklin,Biomass,0.83,0.83,0.83,0.83
10773_B_1,Altavista Power Station,Biomass,0.83,0.83,0.83,0.83
10773_B_2,Altavista Power Station,Biomass,0.83,0.83,0.83,0.83
10774_B_1,Southampton Power Station,Biomass,0.83,0.83,0.83,0.83
10774_B_2,Southampton Power Station,Biomass,0.83,0.83,0.83,0.83
10777_B_ZURN1,HL Power,Biomass,0.83,0.83,0.83,0.83
10784_B_BLR1,Colstrip Energy LP,Coal Steam,0.82,0.82,0.87,0.84
108_B_SGU1,Holcomb,Coal Steam,0.75,0.75,0.83,0.79
1082_B_3,Walter Scott Jr Energy Center,Coal Steam,0.78,0.78,0.85,0.81
1082_B_4,Walter Scott Jr Energy Center,Coal Steam,0.76,0.76,0.84,0.79
10822_B_BOIL1,Grayling Generating Station,Biomass,0.83,0.83,0.83,0.83
10823_B_B101,Deer Island Treatment Plant,Non-Fossil Waste,0.90,0.90,0.90,0.90
10823_B_B201,Deer Island Treatment Plant,Non-Fossil Waste,0.90,0.90,0.90,0.90
10836_B_BLR1,Woodland Biomass Power Ltd,Biomass,0.83,0.83,0.83,0.83
10838_B_BLR1,Springfield Power LLC,Biomass,0.83,0.83,0.83,0.83
10839_B_BLR1,DG Whitefield LLC,Biomass,0.83,0.83,0.83,0.83
10849_B_BLR1,Silver Bay Power,Coal Steam,0.82,0.82,0.87,0.84
10849_B_BLR2,Silver Bay Power,Coal Steam,0.82,0.82,0.87,0.84
10864_B_1,Archer Daniels Midland Cedar Rapids,Coal Steam,0.81,0.81,0.87,0.83
10864_B_2,Archer Daniels Midland Cedar Rapids,Coal Steam,0.81,0.81,0.87,0.83
10864_B_3,Archer Daniels Midland Cedar Rapids,Coal Steam,0.81,0.81,0.87,0.83
10864_B_4,Archer Daniels Midland Cedar Rapids,Coal Steam,0.81,0.81,0.87,0.83
10864_B_5,Archer Daniels Midland Cedar Rapids,Coal Steam,0.81,0.81,0.87,0.83
10869_B_NORTH,Biomass One LP,Biomass,0.83,0.83,0.83,0.83
10869_B_SOUTH,Biomass One LP,Biomass,0.83,0.83,0.83,0.83
10883_B_GTHSG1,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_GTHSG2,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_GTHSG3,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_HSG1,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_HSG2,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_PSG1,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_PSG2,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
10883_B_PSG3,Medical Area Total Energy Plant,O/G Steam,0.80,0.80,0.86,0.82
1091_B_3,George Neal North,Coal Steam,0.76,0.76,0.84,0.79
1122_B_7,Ames Electric Services Power Plant,O/G Steam,0.80,0.80,0.86,0.82
1122_B_8,Ames Electric Services Power Plant,O/G Steam,0.80,0.80,0.86,0.82
1131_B_6,Streeter Station,O/G Steam,0.80,0.80,0.86,0.82
1131_B_7,Streeter Station,O/G Steam,0.80,0.80,0.86,0.82
1167_B_9,Muscatine Plant #1,Coal Steam,0.79,0.79,0.86,0.82
120_B_1,Yucca,O/G Steam,0.80,0.80,0.86,0.82
1217_B_1,Earl F Wisdom,O/G Steam,0.80,0.80,0.86,0.82
1230_B_1,Cimarron River,O/G Steam,0.80,0.80,0.86,0.82
1233_B_4,Fort Dodge,O/G Steam,0.77,0.77,0.86,0.81
1235_B_3,Great Bend - Sunflower,O/G Steam,0.80,0.80,0.86,0.82
1241_B_2,La Cygne,Coal Steam,0.78,0.78,0.85,0.81
126_B_3,H Wilson Sundt Generating Station,O/G Steam,0.77,0.77,0.86,0.81
126_B_4,H Wilson Sundt Generating Station,O/G Steam,0.77,0.77,0.86,0.81
130_B_1,Cross,Coal Steam,0.76,0.76,0.84,0.79
130_B_2,Cross,Coal Steam,0.76,0.76,0.84,0.79
130_B_3,Cross,Coal Steam,0.78,0.78,0.85,0.81
130_B_4,Cross,Coal Steam,0.78,0.78,0.85,0.81
1317_B_5,Pratt,O/G Steam,0.80,0.80,0.86,0.82
1330_B_4,Wellington 1,O/G Steam,0.80,0.80,0.86,0.82
1353_B_BSU1,Big Sandy,O/G Steam,0.77,0.77,0.85,0.80
1356_B_1,Ghent,Coal Steam,0.76,0.76,0.84,0.79
1356_B_2,Ghent,Coal Steam,0.76,0.76,0.84,0.79
1356_B_3,Ghent,Coal Steam,0.76,0.76,0.84,0.79
1356_B_4,Ghent,Coal Steam,0.76,0.76,0.84,0.79
136_B_2,Seminole (FL),Coal Steam,0.78,0.78,0.85,0.81
1364_B_3,Mill Creek (KY),Coal Steam,0.75,0.75,0.83,0.79
1364_B_4,Mill Creek (KY),Coal Steam,0.76,0.76,0.84,0.79
1379_B_1,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_2,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_3,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_4,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_5,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_6,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_7,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_8,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1379_B_9,Shawnee,Coal Steam,0.79,0.79,0.86,0.82
1384_B_1,Cooper,Coal Steam,0.79,0.79,0.86,0.82
1384_B_2,Cooper,Coal Steam,0.74,0.74,0.82,0.77
1391_B_1A,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1391_B_2A,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1391_B_3A,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1391_B_4A,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1391_B_5A,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1391_B_9,Louisiana 1,Fossil Waste,0.90,0.90,0.90,0.90
1393_B_1A,R S Nelson,Coal Steam,0.79,0.79,0.86,0.82
1393_B_2A,R S Nelson,Coal Steam,0.79,0.79,0.86,0.82
1393_B_6,R S Nelson,Coal Steam,0.76,0.76,0.84,0.79
1400_B_3,Teche,O/G Steam,0.76,0.76,0.85,0.80
1402_B_3,Little Gypsy,O/G Steam,0.71,0.71,0.81,0.75
1403_B_4,Nine Mile Point,O/G Steam,0.62,0.62,0.76,0.68
1403_B_5,Nine Mile Point,O/G Steam,0.67,0.67,0.79,0.72
141_B_1,Agua Fria,O/G Steam,0.77,0.77,0.86,0.81
141_B_2,Agua Fria,O/G Steam,0.77,0.77,0.86,0.81
141_B_3,Agua Fria,O/G Steam,0.77,0.77,0.86,0.81
1417_B_3,Lieberman,O/G Steam,0.77,0.77,0.86,0.81
1417_B_4,Lieberman,O/G Steam,0.77,0.77,0.86,0.81
1439_B_14,Houma,O/G Steam,0.80,0.80,0.86,0.82
1439_B_15,Houma,O/G Steam,0.80,0.80,0.86,0.82
1439_B_16,Houma,O/G Steam,0.80,0.80,0.86,0.82
1464_B_1B1,Big Cajun 1,O/G Steam,0.77,0.77,0.86,0.81
1464_B_1B2,Big Cajun 1,O/G Steam,0.77,0.77,0.86,0.81
1507_B_3,William F Wyman,O/G Steam,0.82,0.82,0.87,0.84
1507_B_4,William F Wyman,O/G Steam,0.75,0.75,0.86,0.80
1554_B_1,Herbert A Wagner,O/G Steam,0.77,0.77,0.86,0.81
1554_B_4,Herbert A Wagner,O/G Steam,0.75,0.75,0.87,0.80
1564_B_8,Vienna Operations,O/G Steam,0.82,0.82,0.87,0.84
1571_B_3,Chalk Point LLC,O/G Steam,0.71,0.71,0.81,0.75
1571_B_4,Chalk Point LLC,O/G Steam,0.71,0.71,0.81,0.75
1599_B_1,Canal,O/G Steam,0.82,0.82,0.88,0.84
1599_B_2,Canal,O/G Steam,0.73,0.73,0.82,0.76
160_B_1,Apache Station,O/G Steam,0.80,0.80,0.86,0.82
160_B_2,Apache Station,O/G Steam,0.77,0.77,0.86,0.81
160_B_3,Apache Station,Coal Steam,0.79,0.79,0.86,0.82
165_B_2,GREC,Coal Steam,0.76,0.76,0.84,0.79
1702_B_3,Dan E Karn,O/G Steam,0.67,0.67,0.79,0.72
1702_B_4,Dan E Karn,O/G Steam,0.67,0.67,0.79,0.72
1733_B_1,Monroe (MI),Coal Steam,0.78,0.78,0.85,0.81
1733_B_2,Monroe (MI),Coal Steam,0.78,0.78,0.85,0.81
1733_B_3,Monroe (MI),Coal Steam,0.78,0.78,0.85,0.81
1733_B_4,Monroe (MI),Coal Steam,0.78,0.78,0.85,0.81
1772_B_1,John H Warden,Biomass,0.83,0.83,0.83,0.83
1866_B_5,Wyandotte,O/G Steam,0.80,0.80,0.86,0.82
1866_B_7,Wyandotte,O/G Steam,0.80,0.80,0.86,0.82
1891_B_1,Syl Laskin,O/G Steam,0.80,0.80,0.86,0.82
1891_B_2,Syl Laskin,O/G Steam,0.80,0.80,0.86,0.82
1893_B_3,Clay Boswell,Coal Steam,0.75,0.75,0.83,0.79
1893_B_4,Clay Boswell,Coal Steam,0.76,0.76,0.84,0.79
1897_B_3,M L Hibbard,Biomass,0.83,0.83,0.83,0.83
1897_B_4,M L Hibbard,Biomass,0.83,0.83,0.83,0.83
1979_B_1,Hibbing,Coal Steam,0.82,0.82,0.87,0.84
1979_B_2,Hibbing,Coal Steam,0.82,0.82,0.87,0.84
1979_B_3,Hibbing,Coal Steam,0.82,0.82,0.87,0.84
1979_B_4,Hibbing,Coal Steam,0.82,0.82,0.87,0.84
2001_B_1,New Ulm,O/G Steam,0.80,0.80,0.86,0.82
2001_B_2,New Ulm,O/G Steam,0.80,0.80,0.86,0.82
2001_B_4,New Ulm,O/G Steam,0.80,0.80,0.86,0.82
2018_B_10,Virginia,Biomass,0.83,0.83,0.83,0.83
2018_B_11,Virginia,Biomass,0.83,0.83,0.83,0.83
2018_B_7,Virginia,Biomass,0.83,0.83,0.83,0.83
2018_B_9,Virginia,Biomass,0.83,0.83,0.83,0.83
202_B_01,Carl Bailey,O/G Steam,0.77,0.77,0.86,0.81
203_B_01,McClellan (AR),O/G Steam,0.77,0.77,0.86,0.81
2049_B_5,Jack Watson,O/G Steam,0.73,0.73,0.82,0.77
2079_B_5A,Hawthorn,Coal Steam,0.76,0.76,0.84,0.79
2098_B_1,Lake Road (MO),O/G Steam,0.80,0.80,0.86,0.82
2098_B_2,Lake Road (MO),O/G Steam,0.80,0.80,0.86,0.82
2098_B_3,Lake Road (MO),O/G Steam,0.80,0.80,0.86,0.82
2098_B_5,Lake Road (MO),O/G Steam,0.80,0.80,0.86,0.82
2098_B_8,Lake Road (MO),O/G Steam,0.80,0.80,0.86,0.82
2103_B_1,Labadie,Coal Steam,0.76,0.76,0.84,0.79
2103_B_2,Labadie,Coal Steam,0.76,0.76,0.84,0.79
2103_B_3,Labadie,Coal Steam,0.76,0.76,0.84,0.79
2103_B_4,Labadie,Coal Steam,0.76,0.76,0.84,0.79
2107_B_1,Sioux,Coal Steam,0.76,0.76,0.84,0.79
2107_B_2,Sioux,Coal Steam,0.76,0.76,0.84,0.79
2123_B_8,Columbia (MO),O/G Steam,0.80,0.80,0.86,0.82
2167_B_1,New Madrid,Coal Steam,0.76,0.76,0.84,0.79
2167_B_2,New Madrid,Coal Steam,0.76,0.76,0.84,0.79
2168_B_MB1,Thomas Hill,Coal Steam,0.76,0.76,0.83,0.79
2168_B_MB2,Thomas Hill,Coal Steam,0.76,0.76,0.83,0.79
2168_B_MB3,Thomas Hill,Coal Steam,0.78,0.78,0.85,0.81
2226_B_1,Canaday,O/G Steam,0.80,0.80,0.86,0.82
2240_B_6,Lon Wright,Coal Steam,0.82,0.82,0.87,0.84
2240_B_7,Lon Wright,Coal Steam,0.82,0.82,0.87,0.84
2240_B_8,Lon Wright,Coal Steam,0.82,0.82,0.87,0.84
2244_B_4,North Denver,O/G Steam,0.80,0.80,0.86,0.82
2244_B_5,North Denver,O/G Steam,0.80,0.80,0.86,0.82
2277_B_1,Sheldon,Coal Steam,0.79,0.79,0.86,0.82
2277_B_2,Sheldon,Coal Steam,0.79,0.79,0.86,0.82
2291_B_4,North Omaha,Coal Steam,0.79,0.79,0.86,0.82
2291_B_5,North Omaha,Coal Steam,0.74,0.74,0.82,0.77
2330_B_1,Fort Churchill,O/G Steam,0.77,0.77,0.86,0.81
2336_B_3,Tracy,O/G Steam,0.77,0.77,0.86,0.81
2364_B_1,Merrimack,Coal Steam,0.79,0.79,0.86,0.82
2364_B_2,Merrimack,Coal Steam,0.75,0.75,0.83,0.79
2367_B_4,Schiller,Coal Steam,0.82,0.82,0.87,0.84
2367_B_5W,Schiller,Biomass,0.83,0.83,0.83,0.83
2367_B_6,Schiller,Coal Steam,0.82,0.82,0.87,0.84
2442_B_4,Four Corners,Coal Steam,0.78,0.78,0.85,0.81
2442_B_5,Four Corners,Coal Steam,0.78,0.78,0.85,0.81
2444_B_8,Rio Grande,O/G Steam,0.77,0.77,0.86,0.81
2446_B_051B,Maddox,O/G Steam,0.77,0.77,0.86,0.81
2450_B_1,Reeves,O/G Steam,0.80,0.80,0.86,0.82
2450_B_2,Reeves,O/G Steam,0.80,0.80,0.86,0.82
2450_B_3,Reeves,O/G Steam,0.80,0.80,0.86,0.82
2480_B_1,Danskammer Generating Station,O/G Steam,0.80,0.80,0.86,0.82
2480_B_2,Danskammer Generating Station,O/G Steam,0.80,0.80,0.86,0.82
2480_B_3,Danskammer Generating Station,O/G Steam,0.77,0.77,0.86,0.81
2480_B_4,Danskammer Generating Station,O/G Steam,0.77,0.77,0.85,0.80
2490_B_20,Arthur Kill Generating Station,O/G Steam,0.76,0.76,0.85,0.80
2490_B_30,Arthur Kill Generating Station,O/G Steam,0.71,0.71,0.81,0.75
2493_B_60,East River,O/G Steam,0.77,0.77,0.86,0.81
2493_B_70,East River,O/G Steam,0.77,0.77,0.86,0.81
2500_B_10,Ravenswood,O/G Steam,0.76,0.76,0.85,0.80
2500_B_20,Ravenswood,O/G Steam,0.76,0.76,0.85,0.80
2500_B_30,Ravenswood,O/G Steam,0.79,0.79,0.88,0.83
2511_B_10,E F Barrett,O/G Steam,0.77,0.77,0.86,0.81
2511_B_20,E F Barrett,O/G Steam,0.77,0.77,0.86,0.81
2516_B_1,Northport,O/G Steam,0.71,0.71,0.81,0.75
2516_B_2,Northport,O/G Steam,0.76,0.76,0.86,0.80
2516_B_3,Northport,O/G Steam,0.76,0.76,0.86,0.80
2516_B_4,Northport,O/G Steam,0.76,0.76,0.86,0.80
